"","Age_DPF","model","ShapiroWilk","ResidNorm","Variance","HomogVar","DF.num","DF.denom","Tstat","P_val","SigDif","Effsize","NA","About"
"1",92,"Wilcoxon rank sum exact test","0.571798093041853; 0.00546241352895327","NO",0.0680390220485312,"YES","NA","NA",16,0.0285714285714286,"YES",0.816,NA,"Shell: raw, NO BFACTOR + mean data"
"2",129,"Welchs T test, equal variance","0.0526692546921732; 0.295573695166133","YES",0.290570353981874,"YES","6","NA",-1.74727216275858,0.934407721063048,"NO",1.24,NA,"Shell: raw, NO BFACTOR + mean data"
"3",191,"Welchs T test, equal variance","0.901950728598832; 0.912687040046971","YES",0.144100949317155,"YES","6","NA",0.930931565007982,0.19390627441152,"NO",0.658,NA,"Shell: raw, NO BFACTOR + mean data"
"4",219,"Welchs T test, equal variance","0.967303030205592; 0.285573311367051","YES",0.692771492483857,"YES","6","NA",-3.071184663673,0.989045601796229,"NO",2.17,NA,"Shell: raw, NO BFACTOR + mean data"
"5",233,"Welchs T test, equal variance","0.409001467348509; 0.917796688857775","YES",0.263548152883067,"YES","6","NA",3.55481972784684,0.00600098870925624,"YES",2.51,NA,"Shell: raw, NO BFACTOR + mean data"
"6",245,"Welchs T test, equal variance","0.257822809051925; 0.730620744596194","YES",0.53406873297258,"YES","6","NA",-1.80544866625747,0.939482195469781,"NO",1.28,NA,"Shell: raw, NO BFACTOR + mean data"
"7",274,"Wilcoxon rank sum exact test","0.00268319444348115; 0.136600830898144","NO",0.507800441108546,"YES","NA","NA",15,0.0571428571428571,"NO",0.714,NA,"Shell: raw, NO BFACTOR + mean data"
"8",304,"Welchs T test, equal variance","0.75636697673459; 0.428898460009302","YES",0.581073417734824,"YES","6","NA",0.743411052223775,0.242656646989501,"NO",0.526,NA,"Shell: raw, NO BFACTOR + mean data"
"9",338,"Welchs T test, equal variance","0.71054887014007; 0.337704379618021","YES",0.34693219250198,"YES","6","NA",1.61305381071783,0.0789297844971171,"NO",1.14,NA,"Shell: raw, NO BFACTOR + mean data"
"10",92,"Welchs T test, non-equal variance","0.16611095891884; 0.61794954363476","YES",0.0174540228222043,"NO","4.12124680666201","NA",-0.214903551486971,0.579970015503747,"NO",0.152,NA,"Shell: one bfactor + mean data"
"11",129,"Welchs T test, equal variance","0.958050702142042; 0.703289951499395","YES",0.0693626418867873,"YES","6","NA",0.388824074268716,0.355414953935791,"NO",0.275,NA,"Shell: one bfactor + mean data"
"12",191,"Wilcoxon rank sum exact test","0.794561341418481; 0.0212908807561152","NO",0.208229427247565,"YES","NA","NA",9,0.885714285714286,"NO",0.102,NA,"Shell: one bfactor + mean data"
"13",219,"Welchs T test, equal variance","0.283581880977499; 0.867384281040663","YES",0.96881968023766,"YES","6","NA",-0.694877209148043,0.743435812023663,"NO",0.491,NA,"Shell: one bfactor + mean data"
"14",233,"Wilcoxon rank sum exact test","0.0221951488775212; 0.835160780688854","NO",0.212058843841341,"YES","NA","NA",13,0.2,"NO",0.51,NA,"Shell: one bfactor + mean data"
"15",245,"Welchs T test, equal variance","0.999640123099606; 0.295997067820167","YES",0.363388672552972,"YES","6","NA",0.405327974291179,0.349646624992255,"NO",0.287,NA,"Shell: one bfactor + mean data"
"16",274,"Welchs T test, equal variance","0.230161924046246; 0.374897642994531","YES",0.187475019426212,"YES","6","NA",1.80040120992159,0.0609423398499358,"NO",1.27,NA,"Shell: one bfactor + mean data"
"17",304,"Welchs T test, equal variance","0.0544116104395918; 0.643818719575632","YES",0.724452877435851,"YES","6","NA",1.43339934057954,0.10086448385807,"NO",1.01,NA,"Shell: one bfactor + mean data"
"18",338,"Welchs T test, equal variance","0.951203887462808; 0.344157459699121","YES",0.566593575018429,"YES","6","NA",0.448055528439417,0.334918825076246,"NO",0.317,NA,"Shell: one bfactor + mean data"
"19",92,"Welchs T test, non-equal variance","0.143532404086307; 0.61794954363476","YES",0.0162743302541512,"NO","4.11196230263925","NA",-0.6823819242771,0.7342478924556,"NO",0.483,NA,"Shell: two pCO2 bfactors + mean data"
"20",129,"Welchs T test, equal variance","0.962919321645628; 0.703289951499395","YES",0.0731850734291861,"YES","6","NA",0.219677321204198,0.416702757974862,"NO",0.155,NA,"Shell: two pCO2 bfactors + mean data"
"21",191,"Wilcoxon rank sum exact test","0.792617319464448; 0.0212908807561152","NO",0.213779190604294,"YES","NA","NA",8,1,"NO",0,NA,"Shell: two pCO2 bfactors + mean data"
"22",219,"Welchs T test, equal variance","0.291049625084101; 0.867384281040663","YES",0.980533634511716,"YES","6","NA",-0.848549744384218,0.78565980826856,"NO",0.6,NA,"Shell: two pCO2 bfactors + mean data"
"23",233,"Wilcoxon rank sum exact test","0.0247354250260298; 0.835160780688854","NO",0.213257599617766,"YES","NA","NA",13,0.2,"NO",0.51,NA,"Shell: two pCO2 bfactors + mean data"
"24",245,"Welchs T test, equal variance","0.999078489874179; 0.295997067820167","YES",0.359463426830216,"YES","6","NA",0.353985971462818,0.36772840783937,"NO",0.25,NA,"Shell: two pCO2 bfactors + mean data"
"25",274,"Welchs T test, equal variance","0.226666796212421; 0.374897642994531","YES",0.187811882528634,"YES","6","NA",1.79139259231162,0.0617073422179299,"NO",1.27,NA,"Shell: two pCO2 bfactors + mean data"
"26",304,"Welchs T test, equal variance","0.0575531234568036; 0.643818719575632","YES",0.723529705083653,"YES","6","NA",1.42848650073016,0.101537346215965,"NO",1.01,NA,"Shell: two pCO2 bfactors + mean data"
"27",338,"Welchs T test, equal variance","0.947625319347465; 0.344157459699121","YES",0.565705288184844,"YES","6","NA",0.434599538029675,0.339524039870358,"NO",0.307,NA,"Shell: two pCO2 bfactors + mean data"
