"","Age_DPF","model","ShapiroWilk","ResidNorm","Variance","HomogVar","DF.num","DF.denom","Tstat","P_val","SigDif","Effsize","NA","About"
"1",93,"Welchs T test, non-equal variance","0.127514346910691; 0.725071091309864","YES",0.00113366911785996,"NO","3.53652143592658","NA",-0.483790069842313,0.671528982567058,"NO",0.342,NA,"Shell: two pCO2 b factors + mean data"
"2",165,"Welchs T test, equal variance","0.359951416406558; 0.871262945422765","YES",0.399689303187114,"YES","4","NA",0.954727509411842,0.196890039264196,"NO",0.78,NA,"Shell: two pCO2 b factors + mean data"
"3",196,"Welchs T test, equal variance","0.253167537336679; 0.402370312610652","YES",0.510709890563331,"YES","12","NA",-1.35690457463168,0.900106223948204,"NO",0.725,NA,"Shell: two pCO2 b factors + mean data"
"4",220,"Wilcoxon rank sum exact test","0.97334994273481; 0.0145691688711868","NO",0.724293170988129,"YES","NA","NA",15,1,"NO",0,NA,"Shell: two pCO2 b factors + mean data"
"5",225,"Welchs T test, equal variance","0.364394192906994; 0.433225308825451","YES",0.776861562088544,"YES","10","NA",0.108670482603254,0.457806741324414,"NO",0.0627,NA,"Shell: two pCO2 b factors + mean data"
"6",93,"Welchs T test, non-equal variance","0.138143584298258; 0.667756086601","YES",0.00157782616436107,"NO","3.49792448193997","NA",0.0813136951195958,0.469813808891965,"NO",0.0575,NA,"Shell: one bfactor + mean data"
"7",165,"Welchs T test, equal variance","0.562110180453713; 0.869414219621756","YES",0.505625185701426,"YES","4","NA",1.10558785696677,0.16546275192863,"NO",0.903,NA,"Shell: one bfactor + mean data"
"8",196,"Welchs T test, equal variance","0.337265892125177; 0.433276386121694","YES",0.468063319806622,"YES","12","NA",-1.44627497483015,0.913145035376812,"NO",0.773,NA,"Shell: one bfactor + mean data"
"9",220,"Wilcoxon rank sum exact test","0.917874618399241; 0.014499356928701","NO",0.760721384290119,"YES","NA","NA",17,0.792207792207792,"NO",0.11,NA,"Shell: one bfactor + mean data"
"10",225,"Welchs T test, equal variance","0.400493694881103; 0.425997364195137","YES",0.780575955549621,"YES","10","NA",-0.124452190426284,0.548288299480058,"NO",0.0719,NA,"Shell: one bfactor + mean data"
"11",93,"Welchs T test, equal variance","0.563149874762686; 0.957070012141767","YES",0.0997939518899209,"YES","6","NA",0.202834908860848,0.422983774857377,"NO",0.143,NA,"Shell: raw, NO BFACTOR + mean data"
"12",165,"Welchs T test, equal variance","0.389215163619917; 0.981183427078873","YES",0.520920783260636,"YES","4","NA",0.315039194541634,0.384241085282068,"NO",0.257,NA,"Shell: raw, NO BFACTOR + mean data"
"13",196,"Welchs T test, equal variance","0.628296365471366; 0.228169028393717","YES",0.932328969643956,"YES","12","NA",0.92158177994,0.187451797472051,"NO",0.493,NA,"Shell: raw, NO BFACTOR + mean data"
"14",220,"Welchs T test, equal variance","0.244038856186479; 0.583402728202611","YES",0.447274913069883,"YES","9","NA",-0.887121235981926,0.800950181329157,"NO",0.537,NA,"Shell: raw, NO BFACTOR + mean data"
"15",225,"Wilcoxon rank sum exact test","0.175459328530703; 0.0235062794869222","NO",0.0111560918359285,"NO","NA","NA",22,0.588744588744589,"NO",0.185,NA,"Shell: raw, NO BFACTOR + mean data"
