"","Date","Age","pCO2","Replicate","Number","Run","Length_mm","Dry_Tissue_weight","ExcretionRate_umol_hr","resp_umol_hr","O_N"
"1",20211026,92,"500 μatm","A",1,1,12.61,0.0131,0.05,0.238,9.52
"2",20211026,92,"500 μatm","B",1,1,8.94,0.0069,0.02,0.0788,7.88
"3",20211026,92,"500 μatm","C",1,1,14.07,0.0194,0.06,0.275,9.17
"4",20211026,92,"800 μatm","A",1,1,8.9,0.0043,0.03,0.205,13.7
"5",20211026,92,"500 μatm","A",2,2,14.31,0.016,0.04,0.317,15.8
"6",20211026,92,"500 μatm","B",2,2,11.61,0.0132,0.06,0.232,7.73
"7",20211026,92,"500 μatm","D",1,2,8.65,0.0038,0,0.0897,Inf
"8",20211026,92,"800 μatm","A",2,2,13.49,0.0143,0.03,0.246,16.4
"9",20211026,92,"800 μatm","B",2,2,10.1,0.0074,0.01,0.283,56.6
"10",20211026,92,"800 μatm","D",1,2,7.42,0.0024,0,0.142,Inf
"11",20211026,92,"500 μatm","C",2,3,12.53,0.0143,0.03,0.136,9.07
"12",20211026,92,"500 μatm","D",2,3,11.4,0.01,0.05,0.135,5.4
"13",20211026,92,"800 μatm","C",3,3,9.71,0.0067,0.05,0.1,4
"14",20220202,191,"500 μatm","A",1,1,14.35,0.0335,0.25,2.67,21.4
"15",20220202,191,"500 μatm","B",1,1,13.8,0.0335,0.07,1.08,30.9
"16",20220202,191,"800 μatm","A",1,1,14.9,0.039,0.18,2.89,32.1
"17",20220202,191,"800 μatm","B",1,1,13.6,0.0323,0.23,2.27,19.7
"18",20220202,191,"500 μatm","D",1,2,14,0.0354,0.3,0.651,4.34
"19",20220202,191,"500 μatm","E",1,2,14.8,0.0382,0.21,2.83,27
"20",20220202,191,"500 μatm","F",1,2,14.2,0.0355,0.17,2.1,24.7
"21",20220202,191,"800 μatm","D",1,2,14.75,0.0203,0.1,0.576,11.5
"22",20220202,191,"800 μatm","E",1,2,13.2,0.0264,0.1,1.69,33.8
"23",20220202,191,"800 μatm","F",1,2,13,0.0273,0.11,1.29,23.5
"24",20220202,191,"500 μatm","C",2,3,14.8,0.0397,0.1,2.14,42.8
"25",20220202,191,"500 μatm","G",1,3,14,0.0323,0.08,1.47,36.8
"26",20220202,191,"500 μatm","H",1,3,14,0.0345,0.19,1.41,14.8
"27",20220202,191,"800 μatm","C",2,3,15.1,0.0424,0.21,1.84,17.5
"28",20220202,191,"800 μatm","G",1,3,14,0.0362,0.35,1.92,11
"29",20220202,191,"800 μatm","H",1,3,13.6,0.0324,0.3,1.4,9.33
"30",20220301,218,"500 μatm","A",1,1,20.2,0.1263,0.16,0.669,8.36
"31",20220301,218,"500 μatm","B",1,1,20.35,0.0803,0.58,2.23,7.69
"32",20220301,218,"500 μatm","C",1,1,21.9,0.1547,1.2,6.99,11.6
"33",20220301,218,"800 μatm","A",1,1,22.2,0.1763,1.44,6.98,9.69
"34",20220301,218,"800 μatm","B",1,1,21.9,0.1522,0.47,2.32,9.87
"35",20220301,218,"800 μatm","C",1,1,23.75,0.1721,1.14,7.3,12.8
"36",20220301,218,"500 μatm","D",1,2,23.9,0.196,2.24,5.75,5.13
"37",20220301,218,"500 μatm","E",1,2,23,0.1099,0.03,0.426,28.4
"38",20220301,218,"500 μatm","F",1,2,23.7,0.1926,0.94,7.72,16.4
"39",20220301,218,"800 μatm","D",1,2,22.4,0.1968,0.93,8.28,17.8
"40",20220301,218,"800 μatm","E",1,2,23.45,0.1995,1.05,8.64,16.5
"41",20220301,218,"800 μatm","F",1,2,23.9,0.2425,1.32,10.7,16.2
"42",20220301,218,"500 μatm","E",2,3,21,0.1175,2.23,7.15,6.41
"43",20220301,218,"500 μatm","G",1,3,21.2,0.142,1.13,1.94,3.43
"44",20220301,218,"500 μatm","H",1,3,22.05,0.1405,1.31,5.44,8.31
"45",20220301,218,"800 μatm","B",2,3,21.35,0.1436,1.46,4.35,5.96
"46",20220301,218,"800 μatm","G",1,3,24.3,0.2481,1.23,6.02,9.79
"47",20220301,218,"800 μatm","H",1,3,23.5,0.2242,0.79,12.9,32.7
